
Reference Number = 2408 Incident Particle: neutron 
Target: Z= 94 A= 239 Number of energies= 181
Type potential: rotational   dispersive+SO(Anal.Integr.)  relativ.Schoedr.
First Author: R.Capote      
Z-Range=90- 97  A-Range=228-249  E-Range=   0.001- 200.000 MeV         Ef = -6.090

En(MeV)     V    RV    AV    DWV      W    RW    AW     VD   RVD   AVD     WD   RWD   AWD    VSO   RVSO  AVSO   WSO   RWSO  AWSO   VHFpn WSpn DVSpn    WVpn    DVVpn   V(Lane)  W(Lane)    E
 -4.950 46.134 1.250 0.638  0.194  0.002 1.253 0.680  0.945 1.181 0.604  0.121 1.181 0.604  5.974 1.121 0.590 -0.000 1.121 0.590 -0.591-0.013-0.104   0.000    0.000   -9.882   -0.223   -4.950
 -4.900 46.119 1.250 0.638  0.203  0.003 1.253 0.680  0.985 1.181 0.604  0.131 1.181 0.604  5.971 1.121 0.590 -0.000 1.121 0.590 -0.590-0.014-0.109   0.000    0.000   -9.877   -0.243   -4.900
 -4.850 46.104 1.250 0.638  0.211  0.003 1.253 0.680  1.025 1.181 0.604  0.142 1.181 0.604  5.969 1.121 0.590 -0.000 1.121 0.590 -0.590-0.016-0.113   0.000    0.000   -9.872   -0.263   -4.850
 -4.800 46.088 1.250 0.638  0.220  0.003 1.253 0.680  1.065 1.181 0.604  0.154 1.181 0.604  5.966 1.121 0.590 -0.000 1.121 0.590 -0.590-0.017-0.118   0.000    0.000   -9.867   -0.284   -4.800
 -4.750 46.073 1.250 0.638  0.229  0.003 1.253 0.680  1.104 1.181 0.604  0.166 1.181 0.604  5.964 1.121 0.590 -0.000 1.121 0.590 -0.589-0.018-0.122   0.000    0.000   -9.862   -0.306   -4.750
 -4.700 46.058 1.250 0.638  0.237  0.004 1.253 0.680  1.144 1.181 0.604  0.178 1.181 0.604  5.961 1.121 0.590 -0.000 1.121 0.590 -0.589-0.020-0.126   0.000    0.000   -9.857   -0.329   -4.700
 -4.650 46.043 1.250 0.638  0.246  0.004 1.253 0.680  1.183 1.181 0.604  0.191 1.181 0.604  5.959 1.121 0.590 -0.000 1.121 0.590 -0.589-0.021-0.131   0.000    0.000   -9.852   -0.352   -4.650
 -4.600 46.027 1.250 0.638  0.254  0.004 1.253 0.680  1.222 1.181 0.604  0.204 1.181 0.604  5.956 1.121 0.590 -0.000 1.121 0.590 -0.588-0.023-0.135   0.000    0.000   -9.847   -0.377   -4.600
 -4.550 46.012 1.250 0.638  0.263  0.005 1.253 0.680  1.261 1.181 0.604  0.217 1.181 0.604  5.954 1.121 0.590 -0.000 1.121 0.590 -0.588-0.024-0.139   0.000    0.000   -9.842   -0.402   -4.550
 -4.500 45.997 1.250 0.638  0.271  0.005 1.253 0.680  1.300 1.181 0.604  0.231 1.181 0.604  5.951 1.121 0.590 -0.000 1.121 0.590 -0.588-0.026-0.144   0.000    0.000   -9.836   -0.427   -4.500
 -4.450 45.982 1.250 0.638  0.280  0.005 1.253 0.680  1.338 1.181 0.604  0.245 1.181 0.604  5.949 1.121 0.590 -0.000 1.121 0.590 -0.588-0.027-0.148   0.000    0.000   -9.831   -0.454   -4.450
 -4.400 45.967 1.250 0.638  0.288  0.005 1.253 0.680  1.376 1.181 0.604  0.260 1.181 0.604  5.947 1.121 0.590 -0.000 1.121 0.590 -0.587-0.029-0.152   0.000    0.000   -9.826   -0.481   -4.400
 -4.350 45.951 1.250 0.638  0.297  0.006 1.253 0.680  1.414 1.181 0.604  0.275 1.181 0.604  5.944 1.121 0.590 -0.000 1.121 0.590 -0.587-0.030-0.156   0.000    0.000   -9.821   -0.509   -4.350
 -4.300 45.936 1.250 0.638  0.305  0.006 1.253 0.680  1.452 1.181 0.604  0.291 1.181 0.604  5.942 1.121 0.590 -0.000 1.121 0.590 -0.587-0.032-0.160   0.000    0.000   -9.816   -0.537   -4.300
 -4.250 45.921 1.250 0.638  0.314  0.006 1.253 0.680  1.490 1.181 0.604  0.307 1.181 0.604  5.939 1.121 0.590 -0.000 1.121 0.590 -0.586-0.034-0.165   0.000    0.000   -9.811   -0.567   -4.250
 -4.200 45.906 1.250 0.638  0.322  0.007 1.253 0.680  1.527 1.181 0.604  0.323 1.181 0.604  5.937 1.121 0.590 -0.000 1.121 0.590 -0.586-0.036-0.169   0.000    0.000   -9.806   -0.597   -4.200
 -4.150 45.891 1.250 0.638  0.331  0.007 1.253 0.680  1.564 1.181 0.604  0.339 1.181 0.604  5.934 1.121 0.590 -0.000 1.121 0.590 -0.586-0.037-0.173   0.000    0.000   -9.801   -0.627   -4.150
 -4.100 45.876 1.250 0.638  0.339  0.008 1.253 0.680  1.601 1.181 0.604  0.356 1.181 0.604  5.932 1.121 0.590 -0.000 1.121 0.590 -0.585-0.039-0.177   0.000    0.000   -9.796   -0.659   -4.100
 -4.050 45.861 1.250 0.638  0.348  0.008 1.253 0.680  1.638 1.181 0.604  0.374 1.181 0.604  5.929 1.121 0.590 -0.001 1.121 0.590 -0.585-0.041-0.181   0.000    0.000   -9.791   -0.691   -4.050
 -4.000 45.846 1.250 0.638  0.356  0.008 1.253 0.680  1.674 1.181 0.604  0.391 1.181 0.604  5.927 1.121 0.590 -0.001 1.121 0.590 -0.585-0.043-0.185   0.000    0.000   -9.786   -0.724   -4.000
 -3.950 45.831 1.250 0.638  0.365  0.009 1.253 0.680  1.711 1.181 0.604  0.410 1.181 0.604  5.924 1.121 0.590 -0.001 1.121 0.590 -0.584-0.045-0.189   0.000    0.000   -9.781   -0.757   -3.950
 -3.900 45.816 1.250 0.638  0.373  0.009 1.253 0.680  1.747 1.181 0.604  0.428 1.181 0.604  5.922 1.121 0.590 -0.001 1.121 0.590 -0.584-0.047-0.193   0.000    0.000   -9.775   -0.791   -3.900
 -3.850 45.801 1.250 0.638  0.382  0.010 1.253 0.680  1.782 1.181 0.604  0.447 1.181 0.604  5.919 1.121 0.590 -0.001 1.121 0.590 -0.584-0.049-0.197   0.000    0.000   -9.770   -0.826   -3.850
 -3.800 45.786 1.250 0.638  0.390  0.010 1.253 0.680  1.818 1.181 0.604  0.466 1.181 0.604  5.917 1.121 0.590 -0.001 1.121 0.590 -0.584-0.051-0.201   0.000    0.000   -9.765   -0.861   -3.800
 -3.750 45.770 1.250 0.638  0.399  0.010 1.253 0.680  1.853 1.181 0.604  0.485 1.181 0.604  5.915 1.121 0.590 -0.001 1.121 0.590 -0.583-0.054-0.205   0.000    0.000   -9.760   -0.897   -3.750
 -3.700 45.755 1.250 0.638  0.407  0.011 1.253 0.680  1.888 1.181 0.604  0.505 1.181 0.604  5.912 1.121 0.590 -0.001 1.121 0.590 -0.583-0.056-0.209   0.000    0.000   -9.755   -0.933   -3.700
 -3.650 45.740 1.250 0.638  0.416  0.011 1.253 0.680  1.922 1.181 0.604  0.525 1.181 0.604  5.910 1.121 0.590 -0.001 1.121 0.590 -0.583-0.058-0.212   0.000    0.000   -9.750   -0.970   -3.650
 -3.600 45.725 1.250 0.638  0.424  0.012 1.253 0.680  1.957 1.181 0.604  0.545 1.181 0.604  5.907 1.121 0.590 -0.001 1.121 0.590 -0.582-0.060-0.216   0.000    0.000   -9.745   -1.008   -3.600
 -3.550 45.711 1.250 0.638  0.433  0.012 1.253 0.680  1.991 1.181 0.604  0.566 1.181 0.604  5.905 1.121 0.590 -0.001 1.121 0.590 -0.582-0.063-0.220   0.000    0.000   -9.740   -1.046   -3.550
 -3.500 45.696 1.250 0.638  0.441  0.013 1.253 0.680  2.025 1.181 0.604  0.587 1.181 0.604  5.902 1.121 0.590 -0.001 1.121 0.590 -0.582-0.065-0.224   0.000    0.000   -9.735   -1.085   -3.500
 -3.450 45.681 1.250 0.638  0.450  0.013 1.253 0.680  2.058 1.181 0.604  0.609 1.181 0.604  5.900 1.121 0.590 -0.001 1.121 0.590 -0.581-0.067-0.227   0.000    0.000   -9.730   -1.125   -3.450
 -3.400 45.666 1.250 0.638  0.458  0.014 1.253 0.680  2.091 1.181 0.604  0.630 1.181 0.604  5.897 1.121 0.590 -0.001 1.121 0.590 -0.581-0.070-0.231   0.000    0.000   -9.725   -1.165   -3.400
