Reference Number = 2408 Incident Particle: neutron  Target: Z= 94 A= 239 Ef = -6.090
En(MeV)   RealPot   RVolPot   RSurPot    VSOPot   DVolPot    DVolNonL  DVolSym    ImPot    ImVolPot   ImSurPot   WSOPot
 -3.000   419.479   403.056    16.423    -4.395     4.727     0.438     4.289     5.860     0.164     5.696     0.001
 -2.950   419.563   402.926    16.636    -4.393     4.803     0.445     4.358     6.034     0.169     5.865     0.001
 -2.900   419.644   402.796    16.848    -4.392     4.880     0.452     4.427     6.211     0.175     6.036     0.001
 -2.850   419.723   402.666    17.057    -4.390     4.956     0.459     4.497     6.389     0.180     6.209     0.001
 -2.800   419.800   402.536    17.264    -4.388     5.032     0.466     4.566     6.569     0.186     6.383     0.001
 -2.750   419.875   402.406    17.469    -4.386     5.108     0.473     4.635     6.751     0.191     6.559     0.001
 -2.700   419.948   402.277    17.671    -4.384     5.185     0.481     4.704     6.934     0.197     6.737     0.001
 -2.650   420.018   402.147    17.871    -4.382     5.261     0.488     4.773     7.119     0.203     6.916     0.001
 -2.600   420.087   402.018    18.069    -4.381     5.337     0.495     4.842     7.306     0.209     7.097     0.001
 -2.550   420.153   401.888    18.265    -4.379     5.413     0.502     4.911     7.495     0.215     7.280     0.001
 -2.500   420.217   401.759    18.458    -4.377     5.490     0.509     4.981     7.685     0.221     7.464     0.001
 -2.450   420.279   401.630    18.649    -4.375     5.566     0.516     5.050     7.876     0.227     7.649     0.001
 -2.400   420.339   401.501    18.838    -4.373     5.642     0.523     5.119     8.069     0.233     7.836     0.001
 -2.350   420.396   401.372    19.024    -4.371     5.718     0.530     5.188     8.264     0.240     8.024     0.001
 -2.300   420.451   401.243    19.208    -4.370     5.794     0.537     5.257     8.460     0.246     8.214     0.001
 -2.250   420.504   401.114    19.390    -4.368     5.870     0.545     5.326     8.657     0.253     8.404     0.001
 -2.200   420.555   400.985    19.570    -4.366     5.947     0.552     5.395     8.856     0.259     8.597     0.001
 -2.150   420.603   400.856    19.747    -4.364     6.023     0.559     5.464     9.056     0.266     8.790     0.001
 -2.100   420.649   400.728    19.921    -4.362     6.099     0.566     5.533     9.257     0.273     8.985     0.001
 -2.050   420.693   400.599    20.094    -4.360     6.175     0.573     5.602     9.460     0.280     9.180     0.001
